GeneID	Symbol	NES	p-value	FDR	Bonferroni
21338	Tacr3	1.15	0.252	0.428	1
56753	Tacstd2	1.14	0.254	0.431	1
50873	Park2	1.13	0.258	0.437	1
110855	Pde6c	1.13	0.26	0.438	1
16591	Kl	-1.13	0.26	0.438	1
21934	Tnfrsf11a	1.12	0.261	0.439	1
19878	Rock2	1.12	0.263	0.441	1
11441	Chrna7	1.12	0.264	0.441	1
84112	Sucnr1	1.12	0.264	0.441	1
20661	Sort1	1.12	0.264	0.441	1
16416	Itgb3	-1.11	0.266	0.443	1
13645	Egf	1.1	0.27	0.449	1
12769	Ccr9	-1.1	0.271	0.449	1
246313	Prokr2	-1.09	0.275	0.456	1
23805	Apc2	1.08	0.279	0.462	1
80885	Hcar2	-1.08	0.28	0.463	1
238377	Gpr68	1.08	0.281	0.463	1
14812	Grin2b	1.07	0.284	0.467	1
17200	Mc2r	-1.07	0.284	0.467	1
21802	Tgfa	1.06	0.29	0.474	1
16399	Itga2b	-1.06	0.291	0.475	1
14181	Fgfbp1	1.05	0.293	0.477	1
56437	Rrad	-1.05	0.295	0.479	1
78560	Adgra3	-1.05	0.295	0.479	1
13837	Epha3	1.05	0.295	0.479	1
14760	Gpr19	1.04	0.297	0.48	1
19331	Rab19	1.04	0.298	0.481	1
12267	C3ar1	1.04	0.3	0.484	1
56212	Rhog	-1.03	0.303	0.488	1
23921	Sh2b2	1.03	0.304	0.489	1
12391	Cav3	1.03	0.305	0.489	1
14672	Gna11	1.02	0.307	0.492	1
19416	Rasd1	1.02	0.309	0.495	1
14747	Cmklr1	-1.01	0.311	0.496	1
11551	Adra2a	-1.01	0.311	0.496	1
20423	Shh	-1	0.315	0.501	1
14289	Fpr2	1	0.317	0.503	1
26563	Ror1	-1	0.318	0.503	1
27280	Phlda3	0.99	0.32	0.507	1
12790	Cnga3	-0.99	0.321	0.507	1
258729	Olfr478	0.99	0.324	0.51	1
233046	Rasgrp4	-0.98	0.326	0.513	1
24088	Tlr2	0.98	0.327	0.513	1
69581	Rhou	0.98	0.328	0.514	1
83771	Tas1r3	0.97	0.332	0.52	1
12487	Cd28	0.97	0.334	0.522	1
12000	Avpr2	-0.96	0.336	0.523	1
13852	Stx2	-0.96	0.337	0.523	1
21936	Tnfrsf18	-0.96	0.338	0.523	1
387285	Hcrtr2	0.96	0.338	0.523	1
14103	Fasl	0.96	0.338	0.523	1
54390	Sit1	-0.96	0.339	0.523	1
84111	Gpr87	-0.96	0.339	0.523	1
18439	P2rx7	0.96	0.34	0.523	1
14062	F2r	-0.94	0.349	0.537	1
14371	Fzd9	0.92	0.356	0.545	1
110789	Adgrv1	0.92	0.356	0.545	1
12209	Brs3	-0.92	0.357	0.545	1
19220	Ptgfr	0.92	0.359	0.548	1
56696	Gpr132	-0.9	0.366	0.556	1
243864	Mill2	0.9	0.366	0.556	1
239853	Adgrg7	-0.9	0.368	0.559	1
98366	Smap1	-0.9	0.369	0.56	1
228852	Ppp1r16b	0.89	0.373	0.564	1
54519	Apbb1ip	-0.89	0.373	0.564	1
12503	Cd247	0.89	0.374	0.564	1
12061	Bdkrb1	0.89	0.375	0.564	1
320982	Arl4c	0.89	0.375	0.564	1
19344	Rab5b	0.89	0.376	0.564	1
21812	Tgfbr1	0.88	0.378	0.565	1
229357	Gpr149	-0.87	0.384	0.573	1
21687	Tek	0.87	0.385	0.574	1
16194	Il6ra	-0.87	0.386	0.575	1
18844	Plxna1	-0.86	0.388	0.576	1
257898	Olfr867	0.86	0.388	0.576	1
64297	Gprc5b	-0.86	0.391	0.579	1
241263	Gpr158	0.85	0.395	0.584	1
170483	Grin3b	-0.84	0.401	0.591	1
57265	Fzd2	-0.84	0.401	0.591	1
14654	Glra1	0.84	0.402	0.591	1
224792	Adgrf5	-0.84	0.402	0.591	1
228812	Pigu	0.83	0.406	0.594	1
11554	Adrb1	-0.83	0.406	0.594	1
19267	Ptpre	0.83	0.406	0.594	1
16511	Kcnh2	-0.83	0.407	0.594	1
13874	Ereg	-0.82	0.41	0.596	1
19345	Rab5c	0.82	0.41	0.596	1
17060	Blnk	-0.82	0.411	0.596	1
210198	Gprc6a	0.82	0.411	0.596	1
19353	Rac1	-0.82	0.414	0.598	1
13858	Eps15	0.82	0.415	0.598	1
56017	Slc2a8	-0.82	0.415	0.598	1
50723	Icosl	0.81	0.415	0.598	1
11548	Adra1b	0.8	0.421	0.606	1
18763	Pkd1	-0.8	0.425	0.609	1
14609	Gja1	-0.8	0.426	0.609	1
11443	Chrnb1	-0.8	0.426	0.609	1
78473	Skap1	-0.79	0.427	0.609	1
12526	Cd8b1	0.79	0.427	0.609	1
11513	Adcy7	-0.79	0.428	0.609	1
19216	Ptger1	0.79	0.429	0.609	1
19325	Rab10	-0.79	0.429	0.609	1
241070	Gpr1	-0.79	0.432	0.612	1
12768	Ccr1	0.78	0.434	0.613	1
215449	Rap1b	-0.78	0.434	0.613	1
57260	Ltb4r2	0.78	0.435	0.613	1
12988	Csk	-0.78	0.435	0.613	1
13835	Epha1	-0.78	0.438	0.615	1
216869	Arrb2	0.77	0.439	0.616	1
14816	Grm1	0.77	0.44	0.617	1
228139	P2rx3	-0.77	0.441	0.617	1
11651	Akt1	-0.77	0.441	0.617	1
269356	Slc4a11	-0.76	0.446	0.621	1
192157	Socs7	0.76	0.446	0.621	1
70771	Gpr173	0.76	0.446	0.621	1
30952	Cngb3	0.76	0.448	0.621	1
110524	Dgkq	0.75	0.454	0.629	1
11556	Adrb3	0.75	0.455	0.629	1
22354	Vipr1	0.74	0.457	0.631	1
54140	Avpr1a	0.74	0.46	0.634	1
15557	Htr1f	0.73	0.464	0.639	1
14257	Flt4	0.73	0.467	0.641	1
12331	Cap1	0.73	0.467	0.641	1
14724	Gp1bb	0.73	0.467	0.641	1
19335	Rab23	0.72	0.47	0.643	1
16185	Il2rb	-0.72	0.473	0.646	1
235611	Plxnb1	0.71	0.476	0.649	1
16768	Lag3	0.71	0.478	0.651	1
13488	Drd1	0.7	0.481	0.654	1
23802	Amfr	-0.7	0.482	0.654	1
230777	Hcrtr1	0.69	0.488	0.662	1
50930	Tnfsf14	0.69	0.491	0.664	1
227289	Gpbar1	0.69	0.491	0.664	1
21667	Tdgf1	-0.68	0.494	0.667	1
16542	Kdr	0.68	0.497	0.67	1
11550	Adra1d	-0.68	0.498	0.67	1
14527	Gcgr	0.66	0.506	0.68	1
54485	Dll4	0.66	0.507	0.68	1
224624	Rab40c	0.66	0.508	0.681	1
21846	Tie1	-0.66	0.511	0.682	1
14587	Gfra3	0.66	0.511	0.682	1
16337	Insr	-0.66	0.512	0.682	1
72433	Rab38	-0.65	0.513	0.683	1
14748	Gpr3	0.65	0.514	0.683	1
245527	Eda2r	-0.65	0.515	0.683	1
14125	Fcer1a	0.64	0.52	0.689	1
14806	Grik2	0.64	0.523	0.692	1
12773	Ccr4	-0.63	0.528	0.698	1
114713	Rasa2	-0.62	0.533	0.703	1
93746	Gprc5d	-0.62	0.538	0.709	1
239283	Oxgr1	-0.6	0.546	0.717	1
14389	Gab2	0.6	0.548	0.72	1
18750	Prkca	0.59	0.552	0.72	1
18440	P2rx6	0.59	0.552	0.72	1
18595	Pdgfra	-0.59	0.552	0.72	1
20598	Smpd2	-0.59	0.553	0.72	1
18106	Cd244	-0.59	0.553	0.72	1
217369	Uts2r	-0.59	0.554	0.721	1
14368	Fzd6	-0.58	0.56	0.727	1
207911	Mchr1	0.58	0.563	0.729	1
227288	Cxcr1	-0.58	0.564	0.729	1
13840	Epha6	0.58	0.564	0.729	1
16195	Il6st	0.58	0.564	0.729	1
14761	Gpr27	-0.57	0.572	0.737	1
258318	Olfr186	0.56	0.572	0.737	1
11482	Acvrl1	-0.56	0.577	0.74	1
18322	Olfr24	-0.56	0.577	0.74	1
14734	Gpc3	0.56	0.577	0.74	1
21897	Tlr1	-0.55	0.582	0.745	1
14807	Grik3	-0.55	0.584	0.747	1
106952	Arap3	0.54	0.587	0.749	1
13866	Erbb2	0.54	0.59	0.751	1
338346	Gpr21	0.53	0.594	0.756	1
16407	Itgae	-0.53	0.599	0.761	1
64095	Gpr35	0.52	0.602	0.764	1
93897	Fzd10	0.51	0.607	0.768	1
19164	Psen1	-0.51	0.607	0.768	1
19892	Rpe65	0.51	0.609	0.769	1
26382	Fgd2	0.51	0.609	0.769	1
14362	Fzd1	-0.51	0.611	0.77	1
94226	S1pr5	0.49	0.623	0.783	1
11540	Adora2a	0.49	0.626	0.787	1
381974	Mrgprg	0.48	0.629	0.789	1
14404	Gabre	-0.48	0.633	0.792	1
14408	Gabrr1	0.48	0.634	0.792	1
12215	Bsg	-0.48	0.634	0.792	1
240239	Gpr151	0.47	0.636	0.793	1
77596	Adgrf1	-0.47	0.638	0.795	1
26361	Avpr1b	-0.47	0.64	0.795	1
78249	Adgrf4	0.47	0.64	0.795	1
21939	Cd40	-0.47	0.642	0.796	1
11542	Adora3	-0.46	0.644	0.796	1
19334	Rab22a	0.46	0.644	0.796	1
329252	Lgr6	-0.46	0.645	0.796	1
107515	Lgr4	-0.46	0.649	0.8	1
12478	Cd19	0.45	0.651	0.801	1
57811	Rgr	-0.45	0.651	0.801	1
66629	Golph3	-0.45	0.654	0.803	1
69834	Rab43	-0.44	0.659	0.808	1
94212	Pag1	0.43	0.664	0.813	1
12802	Cnr2	0.43	0.667	0.816	1
14369	Fzd7	0.43	0.669	0.817	1
225600	Pde6a	0.43	0.671	0.817	1
12390	Cav2	0.42	0.671	0.817	1
21899	Tlr6	-0.42	0.678	0.824	1
20200	S100a6	0.4	0.685	0.831	1
101476	Plekha1	-0.4	0.686	0.831	1
11549	Adra1a	0.4	0.693	0.837	1
77647	Trat1	0.39	0.693	0.837	1
17920	Myo6	-0.39	0.694	0.837	1
234353	Psd3	0.38	0.702	0.847	1
93742	Pard3	-0.38	0.703	0.847	1
258319	Olfr187	-0.38	0.706	0.849	1
21814	Tgfbr3	-0.38	0.707	0.849	1
240754	Lax1	0.37	0.708	0.849	1
13844	Ephb2	0.37	0.711	0.851	1
320795	Pkn1	0.37	0.713	0.852	1
57912	Cdc42se1	-0.36	0.716	0.855	1
14763	Gpr37	0.36	0.722	0.86	1
14602	Ghrhr	0.35	0.723	0.86	1
57253	Tas2r108	-0.35	0.723	0.86	1
20737	Spn	-0.35	0.725	0.861	1
12286	Cacna1a	-0.35	0.727	0.862	1
80901	Cxcr6	0.35	0.728	0.862	1
12669	Chrm1	0.34	0.73	0.863	1
71920	Epgn	-0.34	0.732	0.863	1
11440	Chrna6	-0.34	0.732	0.863	1
108043	Chrnb3	-0.34	0.732	0.863	1
104445	Cdc42ep1	0.34	0.734	0.863	1
11448	Chrne	0.34	0.737	0.865	1
12775	Ccr7	-0.34	0.738	0.865	1
14102	Fas	-0.33	0.741	0.869	1
14129	Fcgr1	-0.33	0.743	0.869	1
12766	Cxcr3	0.33	0.744	0.869	1
13733	Adgre1	-0.32	0.746	0.87	1
233571	P2ry6	-0.32	0.746	0.87	1
14428	Galr2	-0.32	0.749	0.872	1
258939	Olfr63	0.32	0.751	0.873	1
14429	Galr3	0.31	0.756	0.876	1
17203	Mc5r	0.31	0.756	0.876	1
321019	Gpr183	0.31	0.757	0.876	1
72293	Nkd2	0.3	0.761	0.878	1
66066	Gng11	-0.3	0.761	0.878	1
18241	Gpr143	0.3	0.762	0.879	1
328778	Rab26	-0.3	0.763	0.879	1
12500	Cd3d	-0.3	0.767	0.882	1
12922	Crhr2	0.29	0.771	0.885	1
237716	Gpr75	0.29	0.772	0.885	1
12425	Cckar	-0.29	0.773	0.885	1
192897	Itgb4	0.29	0.774	0.885	1
18315	Olfr18	0.29	0.775	0.886	1
12525	Cd8a	-0.28	0.777	0.887	1
11596	Ager	-0.28	0.781	0.89	1
12505	Cd44	0.28	0.782	0.89	1
12928	Crk	0.27	0.786	0.894	1
13608	Edar	-0.26	0.793	0.9	1
16199	Il9r	-0.26	0.794	0.9	1
212541	Rho	-0.26	0.795	0.9	1
16331	Inpp5d	0.26	0.797	0.901	1
110902	Chrna2	-0.26	0.798	0.901	1
18759	Prkci	0.25	0.801	0.903	1
12458	Ccr6	-0.25	0.803	0.904	1
269053	Gpr152	-0.25	0.803	0.904	1
26377	Dapp1	-0.24	0.809	0.908	1
229714	Gpr61	0.24	0.81	0.908	1
12388	Ctnnd1	-0.24	0.811	0.908	1
18441	P2ry1	0.24	0.813	0.908	1
14723	Gp1ba	-0.24	0.813	0.908	1
21336	Tacr1	0.24	0.813	0.908	1
243816	Gp6	-0.23	0.817	0.911	1
93896	Glp2r	0.23	0.819	0.912	1
20544	Slc9a1	-0.22	0.823	0.915	1
17069	Ly6e	-0.21	0.83	0.921	1
21937	Tnfrsf1a	0.21	0.831	0.921	1
12778	Ackr3	0.21	0.835	0.925	1
14813	Grin2c	-0.2	0.838	0.927	1
13611	S1pr4	0.2	0.839	0.927	1
12374	Casr	0.2	0.841	0.928	1
21390	Tbxa2r	-0.2	0.843	0.929	1
56470	Rgs19	0.2	0.844	0.93	1
241308	Ralgps1	0.19	0.848	0.933	1
382018	Unc13a	-0.19	0.853	0.936	1
77407	Rab35	0.18	0.859	0.936	1
110834	Chrna3	-0.18	0.859	0.936	1
94045	P2rx5	0.18	0.861	0.936	1
16197	Il7r	-0.18	0.861	0.936	1
70355	Gprc5c	-0.18	0.861	0.936	1
237038	Nox1	0.18	0.861	0.936	1
57249	Gabrq	-0.17	0.861	0.936	1
235442	Rab8b	0.17	0.861	0.936	1
11607	Agtr1a	-0.17	0.864	0.938	1
18438	P2rx4	0.17	0.866	0.939	1
56382	Rab9	0.17	0.868	0.94	1
16370	Irs4	-0.16	0.871	0.942	1
239530	Gpr20	-0.16	0.873	0.943	1
14539	Opn1mw	-0.16	0.875	0.943	1
13610	S1pr3	-0.16	0.875	0.943	1
233079	Ffar2	-0.15	0.877	0.944	1
107477	Guca1b	-0.15	0.878	0.944	1
320910	Itgb8	-0.15	0.88	0.945	1
93690	Gpr45	0.15	0.883	0.947	1
77038	Arfgap2	0.15	0.885	0.947	1
80910	Gpr84	-0.14	0.886	0.947	1
237175	Adgrg2	0.14	0.887	0.947	1
16408	Itgal	0.14	0.887	0.947	1
18310	Olfr13	-0.14	0.888	0.947	1
71753	Tmprss6	-0.14	0.891	0.949	1
17201	Mc3r	-0.13	0.894	0.95	1
13388	Dll1	-0.13	0.896	0.951	1
14126	Ms4a2	0.13	0.896	0.951	1
54672	Adgrg3	0.12	0.907	0.961	1
14063	F2rl1	0.11	0.909	0.961	1
14064	F2rl2	0.11	0.91	0.961	1
108083	Pip4k2b	0.11	0.911	0.962	1
57014	Htr3b	0.11	0.914	0.964	1
16398	Itga2	-0.1	0.918	0.967	1
74039	Nfam1	-0.1	0.921	0.968	1
213527	Pth2r	-0.1	0.922	0.968	1
225471	Ticam2	0.1	0.924	0.97	1
17480	Mpl	0.08	0.933	0.977	1
215798	Adgrg6	0.08	0.934	0.977	1
11447	Chrnd	0.08	0.934	0.977	1
244238	Mrgpre	0.08	0.94	0.978	1
16400	Itga3	0.07	0.94	0.978	1
259017	Olfr1019	0.07	0.941	0.978	1
226304	Npbwr1	0.07	0.941	0.978	1
17967	Ncam1	-0.07	0.941	0.978	1
11609	Agtr2	-0.07	0.944	0.978	1
23912	Rhof	-0.07	0.944	0.978	1
18389	Oprl1	-0.07	0.945	0.978	1
23832	Xcr1	0.07	0.945	0.978	1
19330	Rab18	0.06	0.95	0.98	1
12311	Calcr	0.06	0.95	0.98	1
218624	Il31ra	-0.06	0.951	0.98	1
111174	Taar1	-0.05	0.958	0.986	1
56861	Olfr480	0.05	0.964	0.988	1
16190	Il4ra	0.04	0.967	0.988	1
252837	Ackr4	-0.04	0.967	0.988	1
259013	Olfr1044	0.04	0.967	0.988	1
104443	Npffr2	-0.04	0.969	0.988	1
432530	Adcy1	-0.04	0.969	0.988	1
53869	Rab11a	0.04	0.969	0.988	1
22095	Tshr	-0.04	0.97	0.988	1
244058	Rgma	-0.04	0.971	0.988	1
16867	Lhcgr	-0.04	0.971	0.988	1
215632	Psd4	0.03	0.973	0.988	1
14715	Gnrhr	-0.03	0.976	0.989	1
12518	Cd79a	0.03	0.977	0.989	1
53868	Rab25	0.03	0.977	0.989	1
258362	Olfr1094	0.03	0.978	0.99	1
21337	Tacr2	0.02	0.983	0.993	1
107448	Unc5a	0.02	0.986	0.993	1
23796	Aplnr	-0.02	0.986	0.993	1
170743	Tlr7	-0.02	0.987	0.993	1
27007	Klrk1	-0.02	0.988	0.993	1
58861	Cysltr1	-0.01	0.992	0.995	1
12774	Ccr5	-0.01	0.994	0.995	1
12776	Ccr8	0.01	0.994	0.995	1
81897	Tlr9	0.01	0.994	0.995	1
225192	Hrh4	-0.01	0.996	0.996	1
